id,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间
4839480782228498,7402317908,-我还没睡醒亚-,#台湾是中国的#这是事实。,台湾是中国的,0,0,0,2022-11-24 23:59
4839480613149366,5137338359,平安喜德,【国防部：#台湾是中国的#】#国防部回应美发布涉台报告#11月24日下午，国防部例行记者会，有记者问：据报道，美国国会下属的“美中经济与安全评估委员会”近日发布年度报告，建议评估加强台湾防务的方法，增强美在大陆攻台时的拒止能力。请问对此有何评论？吴谦：中方坚决反对美台军事联系和美售台武器。11月14日，中美两国元首会晤时，美国总统拜登重申不支持“台湾独立”，也不支持“两个中国”“一中一台”，无意同中国发生冲突。我们希望美方能够切实落实这一政策表态，恪守一个中国原则和中美三个联合公报规定，以免进一步损害中美双方共同利益。需要强调的是，台湾是中国的，是中国领土神圣不可分割的一部分。任何强化美台军事联系的做法都是干涉中国内政、违反美方承诺的错误行径，任何通过武装台湾遏制中国大陆的企图都不过是痴人说梦，都注定在中国人民解放军这座钢铁长城面前碰得头破血流。L国防部发布的微博视频,"台湾是中国的,国防部回应美发布涉台报告",0,0,0,2022-11-24 23:59
4839480550231479,5217310849,钱塘检察,【#思诺思是毒品吗#？】思诺思是毒品吗？会上瘾吗？？上瘾了怎么治疗？这个视频能给大家一个基本的概念。（广州禁毒）#台湾是中国的##蜀黍带你涨姿势#L中国警方在线的微博视频,"思诺思是毒品吗,台湾是中国的,蜀黍带你涨姿势",0,0,1,2022-11-24 23:58
4839480416804580,6460725511,秦汉明月唐时关,这些在梧桐时一定会实现的！！#台湾是中国的#,台湾是中国的,0,0,0,2022-11-24 23:58
4839480304078345,5819618186,东南蛙趣,大陆说了不算谁说了算?蛙媒@ETtoday新聞雲#台湾是中国的#,台湾是中国的,0,9,23,2022-11-24 23:58
4839480223859125,7568756848,树荫下一起荡秋千,#台湾是中国的#坚持只有一个中国的原则！,台湾是中国的,0,0,0,2022-11-24 23:57
4839480090168119,7622508880,深潜张大帅,台湾是中国的，自古以来就是，不容任何人置喙。,,0,0,1,2022-11-24 23:57
4839480060283482,1649301067,化春光,#台湾是中国的#我是中国的，中国台湾的，在我们那里，都爱吃刀削面……,台湾是中国的,0,0,0,2022-11-24 23:57
4839480043767008,7658474914,仙女天天在嗷呜,#台湾是中国的#不然咧？,台湾是中国的,0,0,0,2022-11-24 23:56
4839480014669665,1745281497,易峰的熙月,#台湾是中国的#这还用说吗？这就像再说：“我是女的！”事实的事无须强调啦～,台湾是中国的,0,0,0,2022-11-24 23:56
4839480002086077,5623238595,金沙检察,晚安心语#金沙检察#请做足够多的努力让自己有足够多的选择让自己活成一道光潇洒且硬气的穿行在这个世界上晚安#世界杯大冷门##台湾是中国的#,"金沙检察,世界杯 大冷门,台湾是中国的",0,0,0,2022-11-24 23:56
4839479993176123,5664174033,calabazas,#台湾是中国的#@Carol小脑腐_可以回归但不希望是大爹任期回归,台湾是中国的,0,0,0,2022-11-24 23:56
4839479942318349,6416859962,因為我鍾意你啦,#台湾是中国的#每每到了内部矛盾不可调和的时候总是会树立国家和民族的敌人调动起爱国情绪转移视线不去ins上发不去推上发光在微博上热搜哦对了我们没有权利上ins上推想在外面维护国家都做不到,台湾是中国的,0,0,0,2022-11-24 23:56
4839479913744573,7568756848,树荫下一起荡秋千,#台湾是中国的#绝对坚持只有一个中国的原则！反对台独！,台湾是中国的,0,0,0,2022-11-24 23:56
4839479912699686,5580752395,风吹日暮炊烟,#台湾是中国的#本来就是啊,台湾是中国的,0,0,0,2022-11-24 23:56
4839479875734524,2034425141,eureka幸感女神经,#台湾是中国的#台湾这块土地是中国的，至于有些奇奇怪怪的人，那我们不承认他们是中国的。,台湾是中国的,0,0,0,2022-11-24 23:56
4839479871801709,5535821178,iam爱撒野的小孩,#台湾是中国的#哦,台湾是中国的,0,0,0,2022-11-24 23:56
4839479800235865,5860368725,i·故渊,#台湾是中国的#台独听好了。你拜爹说了，只有一个中国。,台湾是中国的,0,0,0,2022-11-24 23:56
4839479645311114,6579875140,美梦制造机小唐,#台湾是中国的#我倒要看看这条微博下有多少ip地址台湾省的,台湾是中国的,0,0,0,2022-11-24 23:55
4839479183677374,7489723540,幼稚园吃辣小高手,#台湾是中国的#没错！,台湾是中国的,0,0,0,2022-11-24 23:53
4839479091665559,6570295447,VvvVv葭桐,#台湾是中国的#,台湾是中国的,0,0,0,2022-11-24 23:53
4839478965306115,6297145134,谢逸枫-知名房地产专家,#国防部回应美发布涉台报告#台湾是中国的，让美国闭嘴吧。,国防部回应美发布涉台报告,0,0,1,2022-11-24 23:52
4839478927556687,5866738433,栗農欤柒·,#台湾是中国的#一直都是🇨🇳,台湾是中国的,0,0,0,2022-11-24 23:52
4839478898721263,3934655366,陇南文县司法,“台湾总有一天会回到祖国来的，这是不可逆转的历史潮流！”——毛泽东#台湾是中国的##国防部回应美发布涉台报告#（央视国家记忆）L共青团福建省委的微博视频,"台湾是中国的,国防部回应美发布涉台报告",0,1,0,2022-11-24 23:52
4839478709721327,3934655366,陇南文县司法,【国防部：#台湾单方面划设的线是非法无效的#】#给厦门舰点赞#11月24日下午，国防部举行例行记者会。#台湾是中国的#有记者提问：台湾地区防务部门负责人近日称，若两岸开战，绝对打到底，绝对有胜算。另据报道，一段解放军厦门舰与台军马公舰的视频在网络上引发关注。视频中，台湾马公舰无理喊话，厦门舰霸气回应：你所谓的24海里线不存在。请问对此有何评论？吴谦：关于厦门舰的回应，我想给他们点个赞。台湾单方面划设的这个线、那个线，都是非法无效的，都无法改变台湾属于中国的事实，更无法阻挡中国人民解放军捍卫国家主权和领土完整的前进步伐。至于民进党当局一些人蚍蜉撼树般的叫嚣，我要正告他们，如果有人胆敢把台湾从中国分裂出去，解放军必将断然出手，必将迎头痛击。L人民日报的微博视频,"台湾单方面划设的线是非法无效的,给厦门舰点赞,台湾是中国的",0,0,0,2022-11-24 23:51
4839478672496388,5504837771,木制羊皮小狼,#台湾是中国的#真没想到这样一个既定事实也要上热搜有什么值得讨论的吗,台湾是中国的,0,0,0,2022-11-24 23:51
4839478404055913,6297145134,谢逸枫-知名房地产专家,#台湾是中国的#台湾是中国的,台湾是中国的,0,0,1,2022-11-24 23:50
4839478378108607,2263242210,励励励志的晨,#台湾是中国的#期待收复台湾时光头怕死丢下大S回西八国然后大S求助兰姐救一家老小。,台湾是中国的,0,0,0,2022-11-24 23:50
4839478155283309,7467411336,寰宇鸟瞰,“台湾问题是中国的核心利益”？美国转背就忘了，建交以来，一直如此。相信美国的承诺，不如相信肥猪会爬树！#跟新浪看热点#O国防部长魏凤和与美国国防部长会谈,跟新浪看热点,0,0,0,2022-11-24 23:49
4839478155281295,1975809067,西充公安,习近平：祖国完全统一一定要实现，也一定能够实现！#台湾是中国的##台湾单方面划设的线非法无效##国防部回应美发布涉台报告#L中国警方在线的微博视频,"台湾是中国的,台湾单方面划设的线非法无效,国防部回应美发布涉台报告",0,0,0,2022-11-24 23:49
